date,close_usd,fit_old,fit_new,ahr999_old,ahr999_new,zone_new
2026-03-25,71336.53,149321,124277,0.3771,0.4531,定投
2026-03-26,68820.31,149459,124388,0.3515,0.4223,抄底
2026-03-27,66407.28,149598,124500,0.3278,0.3939,抄底
2026-03-28,66377.03,149737,124611,0.3281,0.3942,抄底
2026-03-29,66010.93,149876,124723,0.3250,0.3906,抄底
2026-03-30,66797.37,150015,124835,0.3334,0.4007,抄底
2026-03-31,68284.48,150154,124947,0.3490,0.4195,抄底
2026-04-01,68113.92,150294,125059,0.3479,0.4181,抄底
2026-04-02,66901.99,150433,125171,0.3362,0.4041,抄底
2026-04-03,66964.30,150573,125283,0.3375,0.4056,抄底
2026-04-04,67300.42,150712,125395,0.3415,0.4104,抄底
2026-04-05,69034.18,150852,125507,0.3599,0.4326,抄底
2026-04-06,68853.66,150992,125620,0.3586,0.4311,抄底
2026-04-07,71924.22,151132,125732,0.3919,0.4711,定投
2026-04-08,71069.93,151272,125845,0.3832,0.4607,定投
2026-04-09,71787.97,151412,125957,0.3916,0.4707,定投
2026-04-10,72962.70,151553,126070,0.4050,0.4869,定投
2026-04-11,73043.16,151693,126183,0.4064,0.4886,定投
2026-04-12,70740.98,151833,126296,0.3817,0.4589,定投
2026-04-13,74417.99,151974,126409,0.4229,0.5084,定投
2026-04-14,74131.55,152115,126522,0.4200,0.5050,定投
2026-04-15,74809.99,152256,126635,0.4282,0.5148,定投
2026-04-16,75154.29,152397,126748,0.4326,0.5201,定投
2026-04-17,77072.00,152538,126862,0.4554,0.5476,定投
2026-04-18,75691.76,152679,126975,0.4398,0.5288,定投
2026-04-19,73801.79,152820,127088,0.4187,0.5035,定投
2026-04-20,75840.97,152961,127202,0.4428,0.5324,定投
2026-04-21,76336.15,153103,127316,0.4492,0.5402,定投
2026-04-22,78178.23,153245,127429,0.4718,0.5673,定投
2026-04-23,77523.96,153386,127543,0.4645,0.5587,定投
